X,Y,Record ID,Name / Tit,Century
26.936321,39.5023635,"192",Adramyttium - 301/1100,2 BCE|1 BCE
27.588037,37.1957785,"119",Bargylia - 305/1501,3 BCE
27.9212,36.3362,"166",Camirus/Kamiros - 204/0218,2 BCE|1 BCE
28.623687,36.827092,"210",Caunus - 305/2001,2 BCE
27.9526,37.0376,"120",Ceramus/Keramos - 305/1801,3 BCE|2 BCE
27.6042,36.2176,"170",Chalke/Chalce - 204/0501,2 BCE|1 BCE
26.1342335,38.37641,"160",Chios - 205/0101,2 BCE|1 BCE
26.1342335,38.37641,"161",Chios - 205/0103,2 BCE
27.3728385,36.6881795,"205",Cnidus - 305/1901,2 BCE
26.9392185,38.760689,"115",Cyme,3 BCE|2 BCE|1 BCE
27.24758,37.38807,"118",Didyma - 304/1101,3 BCE
27.340307,37.9407625,"116",Ephesus - 304/0601,3 BCE
27.340307,37.9407625,"117",Ephesus - 304/0602,3 BCE
27.340307,37.9407625,"198",Ephesus - 304/0604,2 BCE|1 BCE
26.47994,38.382361,"195",Erythrai - 205/0103,2 BCE
27.420201,37.042901,"110",Halicarnassus - 305/1701,3 BCE
27.420201,37.042901,"111",Halicarnassus - 305/1702,3 BCE
27.420201,37.042901,"217",Halicarnassus - 305/1703,2 BCE|1 BCE
27.420201,37.042901,"112",Halicarnassus - 305/1703,3 BCE|2 BCE
27.2891,36.8951,"204",Kos - 204/1001,2 BCE
30.17119,36.3437453333,"124",Limyra,3 BCE
27.526039,37.8505485,"215",Magnesia ad Maeandrum - 304/0701,2 BCE
27.4849714410067,38.6106754085389,"197",Magnesia ad Sipylum - 303/0301,2 BCE|1 CE|2 CE
27.22995,37.06067,"203",Myndos - 305/1600,2 BCE|1 BCE
26.547048,39.110475,"114",Mytilene - 205/0201,3 BCE
27.1845303333,39.1312133333,"113",Pergamum - 301/1201,3 BCE|2 BCE
28.14439,36.65003,"121",Phoenix - 204/0701,3 BCE
27.298333,37.66,"108",Priene - 304/0801,3 BCE
27.298333,37.66,"109",Priene - 304/0802,3 BCE
27.964125,36.195597,"164",Rhodos - 204/0401,2 BCE
28.227611,36.443113,"122",Rhodos urbs - 204/0111,3 BCE|2 BCE|1 BCE
26.944483,37.68825,"162",Samos - 204/1201,2 BCE
26.944483,37.68825,"163",Samos - 204/1202,2 BCE
26.944483,37.68825,"202",Samos - LIMC Isis 195,2 BCE|1 BCE
27.141387,38.41719605,"107",Smyrna - 304/0201,3 BCE
27.141387,38.41719605,"211",Smyrna - 304/0203,2 BCE
27.141387,38.41719605,"212",Smyrna - 304/0204,2 BCE
27.141387,38.41719605,"213",Smyrna - Siebert Ktema 5 1980,3 BCE|2 BCE|1 BCE
27.8467,36.5519,"206",Syme - 204/0601,2 BCE
27.8467,36.5519,"207",Syme - 204/0602,2 BCE
26.051,39.817,"191",Tenedos/Bozcaada - 301/1100,2 BCE|1 BCE
27.839042,37.8566255,"199",Tralles - 303/1301,2 BCE
29.31836,36.355934,"123",Xanthos,3 BCE|2 BCE|1 BCE
29.9873656667,36.2562953333,"503",Myra,2 BCE|1 BCE
29.6650776667,36.2424333333,"506",Phellos,2 BCE|1 BCE
29.78414025,36.15748725,"500",Aperlae,2 BCE|1 BCE
29.81919295,36.2465703,"501",Cyenae,2 BCE|1 BCE
29.93129,36.26396,"507",Trebendae,2 BCE|1 BCE
30.4733584117,36.3952646081,"504",Olympus,2 BCE|1 BCE
30.549049,36.5228063333,"505",Phaselis,2 BCE|1 BCE
29.9986745,36.4143771,"502",Masicytes,2 BCE|1 BCE
26.411,40.1942,"508",Abydos,2 BCE
27.069096,40.420499,"509",Parium,2 BCE|1 BCE
28.0882,36.0913,"600",Lindos,3 BCE|2 BCE
28.061849,37.3137095,"602",Stratonikea,2 BCE|1 BCE
