X,Y,Name,Certainty,Control,Type,Date,Military_i
26.944483,37.68825,Samos,,Direct,Garrison,,Yes
27.585075,37.278837,Iasos,,Ally,,,
27.7902386667,37.3027506667,Mylasa,,Direct,Oikonomos,,
28.061849,37.3137095,Stratonikea,,Ptolemaic_year,,"274",
27.81386,37.41812,Labraunda,,Direct,Oikonomos,,
27.690896,37.59888,Amyzon,,Direct,Strategos,,
27.420201,37.042901,Halikarnassos,,Direct,,280-195,Yes
27.2783168333,37.5229047333,Miletos,,Possession/Ally,,279-260,
27.22995,37.06067,Myndos,,Direct,,280-195,
27.3728385,36.6881795,Knidos,,Unknown,,,
28.623687,36.827092,Kaunos,,Direct,,309-196,Yes
28.84485,36.75964,Kalynda,,Ptolemaic_year,Strategos,"248",
27.2891,36.8951,Kos,,Ally,,,
26.983333,36.983333,Kalymna,,Indirect,,,
28.839144,36.664252,Lissa,,Ptolemaic_year,,"270",
29.3837026667,36.7513153333,Araxa,?,Uncertain,,,
29.1141469333,36.6221440667,Telmessos,,Ptolemaic_year,,,
29.31836,36.355934,Xanthos,,Direct,Garrison,,Yes
29.314501,36.2617946667,Patara,,,,,
29.95618,36.22647,Andriake,,,,,
30.17119,36.3437453333,Limyra,,,,,
30.467197,36.982996,Termessos,,,,,
26.176891,39.369167,Methymna,,Direct,,Philopator,
26.1342335,38.37641,Chios,,Indirect,,270s,
27.340307,37.9407625,Ephesos,,Direct,Garrison,,Yes
26.964722,38.077883,Lebedos,,Unknown,,,
27.157223,38.0908258,Kolophon,,,,,
27.526039,37.8505485,Magnesia ad M.,,Unknown,,,
27.298333,37.66,Priene,?,Possession,,,
26.785397,38.185491,Teos,?,,,,
27.588037,37.1957785,Bargylia,,post,,until 201,
